,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
LDV milage [Mmiles/year],390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,390.735,
   Diesel,379.361,362.611,341.297,319.982,298.667,277.352,256.037,234.722,213.407,192.092,170.777,149.462,128.148,113.313,98.478,83.644,68.809,53.975,39.140,24.305,9.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,6.739,17.127,27.515,37.902,48.290,58.678,69.065,79.453,89.840,100.228,110.616,121.003,131.391,131.391,131.391,131.391,131.391,131.391,131.391,131.391,131.391,126.027,111.193,96.358,81.523,66.689,51.854,37.020,22.185,
   HEV,0.070,5.668,11.267,16.865,22.464,28.062,33.661,39.259,44.858,50.456,56.055,61.653,67.252,72.850,78.449,84.048,89.646,95.245,100.843,106.442,112.040,117.639,123.237,128.836,134.434,140.033,145.631,151.230,156.828,
   Other fuel,4.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,5.329,10.657,15.986,21.315,26.644,31.972,37.301,42.630,47.959,53.287,58.616,63.945,69.273,74.602,79.931,85.260,90.588,95.917,101.246,106.574,111.903,117.232,122.561,127.889,133.218,138.547,143.876,149.204,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.907,7.815,11.722,15.629,19.537,23.444,27.351,31.259,35.166,39.074,42.981,46.888,50.796,54.703,58.610,62.518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDV annual change [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,,-4.287,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-2.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.373,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,
   HEV,,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,
   Other fuel,,-1.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,
   Hydrogen,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDV emissions [ktCO2/year],157.037,153.421,149.811,146.202,142.593,138.984,135.375,131.765,128.156,124.547,120.938,117.329,113.719,109.026,104.333,99.640,94.947,90.254,85.561,80.868,76.175,71.735,67.741,63.748,59.754,55.760,51.767,47.773,43.780,
   Diesel,152.780,146.034,137.450,128.866,120.282,111.698,103.114,94.530,85.945,77.361,68.777,60.193,51.609,45.635,39.660,33.686,27.712,21.737,15.763,9.788,3.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,2.396,6.090,9.784,13.477,17.171,20.865,24.558,28.252,31.945,35.639,39.333,43.026,46.720,46.720,46.720,46.720,46.720,46.720,46.720,46.720,46.720,44.813,39.538,34.263,28.988,23.713,18.438,13.163,7.889,
   HEV,0.015,1.207,2.400,3.592,4.785,5.977,7.170,8.362,9.555,10.747,11.940,13.132,14.325,15.517,16.710,17.902,19.095,20.287,21.480,22.672,23.865,25.057,26.250,27.442,28.635,29.827,31.019,32.212,33.404,
   Other fuel,1.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,0.089,0.178,0.266,0.355,0.444,0.533,0.622,0.710,0.799,0.888,0.977,1.066,1.155,1.243,1.332,1.421,1.510,1.599,1.687,1.776,1.865,1.954,2.043,2.131,2.220,2.309,2.398,2.487,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDV fuel cost [m£/year],65.437,64.527,63.682,62.836,61.991,61.146,60.301,59.455,58.610,57.765,56.920,56.074,55.229,54.584,53.939,53.294,52.650,52.005,51.360,50.715,50.070,49.534,49.190,48.845,48.501,48.156,47.812,47.468,47.123,
   Diesel,63.604,60.796,57.222,53.649,50.075,46.501,42.928,39.354,35.780,32.207,28.633,25.059,21.485,18.998,16.511,14.024,11.537,9.049,6.562,4.075,1.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.993,2.525,4.056,5.587,7.118,8.650,10.181,11.712,13.243,14.775,16.306,17.837,19.368,19.368,19.368,19.368,19.368,19.368,19.368,19.368,19.368,18.578,16.391,14.204,12.017,9.831,7.644,5.457,3.270,
   HEV,0.009,0.737,1.465,2.193,2.921,3.649,4.376,5.104,5.832,6.560,7.288,8.016,8.744,9.472,10.200,10.927,11.655,12.383,13.111,13.839,14.567,15.295,16.023,16.751,17.479,18.206,18.934,19.662,20.390,
   Other fuel,0.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,0.469,0.939,1.408,1.877,2.346,2.816,3.285,3.754,4.224,4.693,5.162,5.631,6.101,6.570,7.039,7.509,7.978,8.447,8.916,9.386,9.855,10.324,10.794,11.263,11.732,12.201,12.671,13.140,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.645,1.290,1.936,2.581,3.226,3.871,4.516,5.161,5.807,6.452,7.097,7.742,8.387,9.032,9.678,10.323,
LDV emission cost [m£/year],34.627,35.018,35.355,35.637,35.862,36.032,36.145,36.203,36.204,35.309,34.407,33.497,32.581,31.345,30.100,28.846,27.582,26.309,25.027,23.735,22.434,21.198,20.085,18.965,17.837,16.700,15.556,14.404,13.243,
   Diesel,33.688,33.332,32.438,31.411,30.251,28.958,27.531,25.972,24.280,21.932,19.567,17.185,14.786,13.120,11.442,9.752,8.050,6.336,4.611,2.873,1.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.528,1.390,2.309,3.285,4.318,5.409,6.557,7.762,9.025,10.104,11.190,12.284,13.385,13.432,13.479,13.525,13.572,13.619,13.666,13.712,13.759,13.242,11.723,10.193,8.653,7.102,5.541,3.969,2.386,
   HEV,0.003,0.276,0.566,0.876,1.203,1.550,1.914,2.298,2.699,3.047,3.397,3.749,4.104,4.461,4.821,5.183,5.547,5.914,6.283,6.654,7.028,7.404,7.783,8.164,8.547,8.933,9.321,9.712,10.105,
   Other fuel,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,0.020,0.042,0.065,0.089,0.115,0.142,0.171,0.201,0.227,0.253,0.279,0.305,0.332,0.359,0.386,0.413,0.440,0.468,0.495,0.523,0.551,0.579,0.608,0.636,0.665,0.694,0.723,0.752,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
LDV total cost [m£/year],100.064,99.545,99.037,98.473,97.853,97.177,96.446,95.658,94.814,93.074,91.326,89.572,87.810,85.929,84.039,82.140,80.232,78.314,76.387,74.450,72.504,70.732,69.275,67.810,66.337,64.857,63.368,61.871,60.367,
Net specific cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.256,0.260,0.263,0.266,0.269,0.272,0.275,0.278,0.281,0.282,0.282,0.283,0.283,0.283,0.284,0.284,0.285,0.285,0.285,0.286,0.286,0.287,0.287,0.287,0.288,0.288,0.289,0.289,0.289,
   Petrol,0.226,0.229,0.231,0.234,0.237,0.240,0.242,0.245,0.248,0.248,0.249,0.249,0.249,0.250,0.250,0.250,0.251,0.251,0.251,0.252,0.252,0.252,0.253,0.253,0.254,0.254,0.254,0.255,0.255,
   HEV,0.177,0.179,0.180,0.182,0.184,0.185,0.187,0.189,0.190,0.190,0.191,0.191,0.191,0.191,0.191,0.192,0.192,0.192,0.192,0.193,0.193,0.193,0.193,0.193,0.194,0.194,0.194,0.194,0.194,
   Other fuel,0.271,0.274,0.277,0.280,0.284,0.287,0.290,0.293,0.296,0.296,0.297,0.297,0.298,0.298,0.298,0.299,0.299,0.300,0.300,0.300,0.301,0.301,0.302,0.302,0.303,0.303,0.303,0.304,0.304,
   Electric,0.092,0.092,0.092,0.092,0.092,0.092,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,
   Hydrogen,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Motorbike milage [Mmiles/year],11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,11.838,
   Diesel,0.005,0.041,0.076,0.111,0.147,0.182,0.218,0.253,0.289,0.324,0.359,0.395,0.430,0.430,0.430,0.430,0.430,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,11.747,11.066,10.384,9.703,9.022,8.341,7.660,6.978,6.297,5.616,4.935,4.254,3.572,2.808,2.044,1.280,0.516,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.170,0.339,0.509,0.678,0.848,1.018,1.187,1.357,1.527,1.696,1.866,2.035,2.205,2.375,2.544,2.714,2.884,3.053,3.223,3.392,3.562,3.732,3.901,4.071,4.241,4.410,4.580,4.749,
   Other fuel,0.086,0.401,0.716,1.030,1.345,1.660,1.974,2.289,2.604,2.919,3.233,3.548,3.863,4.177,4.492,4.807,5.122,5.436,5.169,4.719,4.270,3.820,3.371,2.921,2.472,2.023,1.573,1.124,0.674,
   Electric,0.000,0.161,0.323,0.484,0.646,0.807,0.969,1.130,1.292,1.453,1.614,1.776,1.937,2.099,2.260,2.422,2.583,2.745,2.906,3.067,3.229,3.390,3.552,3.713,3.875,4.036,4.198,4.359,4.520,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.237,0.355,0.474,0.592,0.710,0.829,0.947,1.065,1.184,1.302,1.421,1.539,1.657,1.776,1.894,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorbike annual change [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.000,0.000,0.000,0.000,-2.098,-1.536,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-5.754,-6.455,-6.455,-6.455,-6.455,-4.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,
   Other fuel,,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,-2.261,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,
   Electric,,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,
   Hydrogen,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorbike emissions [ktCO2/year],2.155,2.095,2.036,1.976,1.917,1.857,1.798,1.739,1.679,1.620,1.560,1.501,1.442,1.361,1.280,1.199,1.118,1.036,0.955,0.874,0.793,0.712,0.631,0.550,0.469,0.388,0.307,0.226,0.145,
   Diesel,0.001,0.007,0.014,0.020,0.027,0.033,0.040,0.046,0.053,0.059,0.066,0.072,0.079,0.079,0.079,0.079,0.079,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,2.138,2.014,1.890,1.766,1.642,1.518,1.394,1.270,1.146,1.022,0.898,0.774,0.650,0.511,0.372,0.233,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.016,0.073,0.130,0.188,0.245,0.302,0.359,0.417,0.474,0.531,0.588,0.646,0.703,0.760,0.818,0.875,0.932,0.989,0.941,0.859,0.777,0.695,0.614,0.532,0.450,0.368,0.286,0.205,0.123,
   Electric,0.000,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.009,0.010,0.010,0.011,0.012,0.013,0.014,0.015,0.015,0.016,0.017,0.018,0.019,0.019,0.020,0.021,0.022,0.023,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorbike fuel cost [m£/year],1.356,1.333,1.311,1.289,1.266,1.244,1.221,1.199,1.177,1.154,1.132,1.109,1.087,1.053,1.019,0.985,0.951,0.918,0.895,0.875,0.855,0.835,0.816,0.796,0.776,0.756,0.736,0.716,0.696,
   Diesel,0.001,0.005,0.009,0.013,0.017,0.021,0.025,0.029,0.033,0.037,0.041,0.045,0.049,0.049,0.049,0.049,0.049,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,1.347,1.269,1.191,1.113,1.034,0.956,0.878,0.800,0.722,0.644,0.566,0.488,0.410,0.322,0.234,0.147,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.017,0.034,0.052,0.069,0.086,0.103,0.120,0.137,0.155,0.172,0.189,0.206,0.223,0.240,0.258,0.275,0.292,0.309,0.326,0.344,0.361,0.378,0.395,0.412,0.429,0.447,0.464,0.481,
   Other fuel,0.008,0.039,0.069,0.099,0.129,0.160,0.190,0.220,0.251,0.281,0.311,0.341,0.372,0.402,0.432,0.462,0.493,0.523,0.497,0.454,0.411,0.368,0.324,0.281,0.238,0.195,0.151,0.108,0.065,
   Electric,0.000,0.004,0.009,0.013,0.017,0.021,0.026,0.030,0.034,0.038,0.043,0.047,0.051,0.055,0.060,0.064,0.068,0.073,0.077,0.081,0.085,0.090,0.094,0.098,0.102,0.107,0.111,0.115,0.119,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.006,0.008,0.010,0.012,0.014,0.016,0.018,0.020,0.022,0.023,0.025,0.027,0.029,0.031,
Motorbike emission cost [m£/year],0.475,0.478,0.480,0.482,0.482,0.482,0.480,0.478,0.474,0.459,0.444,0.429,0.413,0.391,0.369,0.347,0.325,0.302,0.279,0.257,0.234,0.210,0.187,0.164,0.140,0.116,0.092,0.068,0.044,
   Diesel,0.000,0.002,0.003,0.005,0.007,0.009,0.011,0.013,0.015,0.017,0.019,0.021,0.023,0.023,0.023,0.023,0.023,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.471,0.460,0.446,0.430,0.413,0.394,0.372,0.349,0.324,0.290,0.256,0.221,0.186,0.147,0.107,0.067,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.003,0.017,0.031,0.046,0.062,0.078,0.096,0.114,0.134,0.151,0.167,0.184,0.201,0.219,0.236,0.253,0.271,0.288,0.275,0.252,0.229,0.205,0.182,0.158,0.134,0.110,0.086,0.062,0.037,
   Electric,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Motorbike total cost [m£/year],1.831,1.812,1.791,1.770,1.748,1.725,1.701,1.677,1.651,1.613,1.576,1.538,1.500,1.444,1.388,1.332,1.276,1.220,1.174,1.132,1.089,1.046,1.003,0.959,0.916,0.872,0.829,0.785,0.740,
Net specific cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.153,0.155,0.156,0.157,0.159,0.160,0.162,0.163,0.165,0.165,0.165,0.165,0.165,0.165,0.166,0.166,0.166,0.166,0.166,0.167,0.167,0.167,0.167,0.167,0.167,0.168,0.168,0.168,0.168,
   Petrol,0.155,0.156,0.158,0.159,0.160,0.162,0.163,0.165,0.166,0.166,0.166,0.167,0.167,0.167,0.167,0.167,0.168,0.168,0.168,0.168,0.168,0.168,0.169,0.169,0.169,0.169,0.169,0.170,0.170,
   HEV,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,
   Other fuel,0.136,0.138,0.139,0.141,0.142,0.143,0.145,0.146,0.148,0.148,0.148,0.148,0.148,0.149,0.149,0.149,0.149,0.149,0.149,0.150,0.150,0.150,0.150,0.150,0.151,0.151,0.151,0.151,0.151,
   Electric,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,
   Hydrogen,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total emissions,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
   Car,494.386,485.381,477.167,468.953,460.738,452.524,444.310,436.096,427.881,419.667,411.453,403.239,395.024,381.837,368.649,355.461,342.273,329.085,315.563,301.702,287.841,273.979,260.118,246.256,232.395,218.533,204.672,190.810,176.949,
   Bus,15.812,15.579,15.421,15.263,15.105,14.947,14.789,14.630,14.472,14.314,14.156,13.998,13.840,13.524,13.208,12.891,12.575,12.270,12.100,11.929,11.759,11.588,11.418,11.248,11.077,10.907,10.736,10.566,10.395,
   HGV,82.620,81.199,79.742,78.252,76.727,75.167,73.573,71.945,70.282,67.971,65.655,63.334,61.009,58.522,56.086,53.643,51.193,48.736,47.445,46.739,46.033,45.328,44.623,44.015,43.449,42.959,42.824,42.687,42.546,
   LDV,157.037,153.421,149.811,146.202,142.593,138.984,135.375,131.765,128.156,124.547,120.938,117.329,113.719,109.026,104.333,99.640,94.947,90.254,85.561,80.868,76.175,71.735,67.741,63.748,59.754,55.760,51.767,47.773,43.780,
   Motorbike,2.155,2.095,2.036,1.976,1.917,1.857,1.798,1.739,1.679,1.620,1.560,1.501,1.442,1.361,1.280,1.199,1.118,1.036,0.955,0.874,0.793,0.712,0.631,0.550,0.469,0.388,0.307,0.226,0.145,
Cumulative,752.009,737.675,724.178,710.646,697.080,683.479,669.845,656.175,642.472,628.119,613.762,599.400,585.034,564.269,543.555,522.834,502.106,481.382,461.624,442.112,422.601,403.343,384.531,365.817,347.144,328.548,310.306,292.062,273.815,0.364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social cost of carbon [£/tCO2], 220.50 , 228.25 , 236.00 , 243.75 , 251.50 , 259.25 , 267.00 , 274.75 , 282.50 , 283.50 , 284.50 , 285.50 , 286.50 , 287.50 , 288.50 , 289.50 , 290.50 , 291.50 , 292.50 , 293.50 , 294.50 , 295.50 , 296.50 , 297.50 , 298.50 , 299.50 , 300.50 , 301.50 , 302.50 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Car , Bus , HGV , LDV , Motobike ,,,,,,,,,,,,,,,,,,,,,,,,,
Max change to EV [%], 1.36 , 1.36 , 1.36 , 1.36 , 1.36 ,,,,,,,,,,,,,,,,,,,,,,,,,
Max change to HEV [%], 1.43 , 1.43 , 1.43 , 1.43 , 1.43 ,,,,,,,,,,,,,,,,,,,,,,,,,
Max change to H2 [%], 0.50 , 0.50 , 0.50 , 0.50 , 0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,
Max change to petro / other fuell [%}, 2.66 , 2.66 , 2.66 , 2.66 , 2.66 ,,,,,,,,,,,,,,,,,,,,,,,,,
Max change to diesel [%}, 0.30 , 0.30 , 0.30 , 0.30 , 0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,
Max electricity available to EV/HEV [TWh], 15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No H2 before 2030, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No new petrol/diesel after 2035, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max new diesel [%],10.000,783.5517753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max new petrol [%],10.000,1140.114316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total cost [m£],18673.738,<- minimize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Car,9469.154,50.70840273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Bus,5061.679,27.10586845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   HGV,1704.304,9.126743656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   LDV,2399.461,12.84938703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Motorbike,39.140,0.209598134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car electric consumption [kWh/mile],3.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car H2 consumption [kg/mile],0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car petrol consumption [L/mile],0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car diesel consumption [L/mile],0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car hybrid petrol consumption [L/mile],0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car hybrid electric range percentage [%],30.000,Real-world usage of plug-in hybrid vehicles in Europe: A 2022 update,https://theicct.org/publication/real-world-phev-use-jun22/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid electic consumption [kWh/mile],3.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hybrid petrol consumption [L/mile],0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus electric consumption [kWh/mile],2.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
