,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Heating value of fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrol [MJ/L],33.526,https://www.bts.gov/content/energy-consumption-mode-transportation-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel [MJ/L],38.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNG [MJ/L],38.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 [MJ/kg],142.000,https://world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimisation variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car distribution [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,38.188,38.487171,38.786395,39.085618,39.384842,39.684065,39.983289,40.282512,40.581735,40.880959,41.180182,41.479406,41.778629,41.778629,41.778629,41.778629,41.778629,41.778629,39.89987,36.10987,32.31987,28.52987,24.73987,20.94987,17.15987,13.36987,9.5798697,5.7898697,1.9998697,
   Petrol,55.566,54.842698,51.753475,48.664251,45.575028,42.485805,39.396581,36.307358,33.218134,30.128911,27.039688,23.950464,20.861241,17.071241,13.281241,9.4912407,5.7012407,1.9112407,0,0,0,0,0,0,0,0,0,0,0,
   HEV,3.880,5.3101303,6.7401303,8.1701303,9.6001303,11.03013,12.46013,13.89013,15.32013,16.75013,18.18013,19.61013,21.04013,22.47013,23.90013,25.33013,26.76013,28.19013,29.62013,31.05013,32.48013,33.91013,35.34013,36.77013,38.20013,39.63013,41.06013,42.49013,43.92013,
   Other fuel,2.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Electric,0.000,1.36,2.72,4.08,5.44,6.8,8.16,9.52,10.88,12.24,13.6,14.96,16.32,17.68,19.04,20.4,21.76,23.12,24.48,25.84,27.2,28.56,29.92,31.28,32.64,34,35.36,36.72,38.08,
   Hydrogen,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
Bus distribution [%],0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Diesel,94.932,91.792328,86.337255,80.882183,75.42711,69.972037,64.516964,59.061891,53.606818,48.151745,42.696672,37.241599,31.786526,25.331453,18.876381,12.421308,5.9662347,0,0,0,0,0,0,0,0,0,0,0,0,
   Petrol,2.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   HEV,0.002,1.4349426,2.8677624,4.3005822,5.733402,7.1662217,8.5990415,10.031861,11.464681,12.897501,14.330321,15.76314,17.19596,18.62878,20.0616,21.49442,22.927239,24.360059,25.792879,27.225699,28.658519,30.091338,31.524158,32.956978,34.389798,35.822617,37.255437,38.688257,40.121077,
   Other fuel,2.750,5.4089608,8.0674457,10.725931,13.384415,16.0429,18.701385,21.35987,24.018355,26.67684,29.335325,31.99381,34.652295,37.31078,39.969264,42.627749,45.286234,47.455881,43.659293,39.862705,36.066117,32.269529,28.472941,24.676353,20.879765,17.083177,13.286589,9.4900008,5.6934128,
   Electric,0.000,1.3637682,2.7275365,4.0913047,5.4550729,6.8188411,8.1826094,9.5463776,10.910146,12.273914,13.637682,15.001451,16.365219,17.728987,19.092755,20.456523,21.820292,23.18406,24.547828,25.911596,27.275365,28.639133,30.002901,31.366669,32.730437,34.094206,35.457974,36.821742,38.18551,
   Hydrogen,0.000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
HGV distribution [%],0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Diesel,99.799,91.685821,83.572263,75.458705,67.345147,59.23159,51.118032,43.004474,34.890916,26.777358,18.663801,10.550243,2.4366849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
   Petrol,0.091,2.7490881,5.407573,8.0660579,10.724543,13.383028,16.041513,18.699997,21.358482,24.016967,26.675452,29.333937,31.992422,27.974034,21.518961,15.063888,8.6088153,2.1537423,0,0,0,0,0,0,0,0,0,0,0,
   HEV,0.000,1.4328198,2.8656396,4.2984594,5.7312791,7.1640989,8.5969187,10.029738,11.462558,12.895378,14.328198,15.761018,17.193837,18.626657,20.059477,21.492297,22.925117,24.357936,21.489426,16.467172,11.444919,6.4226662,1.400413,0,0,0,0,0,0,
   Other fuel,0.110,2.768503,5.4269879,8.0854728,10.743958,13.402443,16.060928,18.719412,21.377897,24.036382,26.694867,29.353352,32.011837,34.670322,37.328807,39.987292,42.645777,45.304261,47.962746,50.621231,53.279716,55.938201,58.596686,61.255171,63.913656,65.905794,64.542026,63.178258,61.81449,
